17,25,30,19,24,0,13,9,2,12,22,14,0,0,16,5,0,21,23,4,6,15,26,29,1,7,3,10,20,18
28,24,26,22,6,12,15,19,0,30,4,13,16,3,25,7,10,27,0,21,17,8,0,20,9,2,29,14,11,18
30,10,5,19,11,17,6,0,0,29,12,25,22,0,2,3,15,21,0,0,4,28,14,7,9,8,23,0,18,27
0,29,17,0,30,0,14,7,10,18,9,25,0,28,23,20,24,13,5,12,22,19,8,0,15,0,3,2,26,0
8,0,17,6,20,0,14,3,23,29,10,22,19,5,0,0,28,7,2,21,1,18,27,16,13,0,24,0,26,9
0,5,22,6,0,29,10,12,26,9,19,21,7,28,16,18,3,4,23,24,13,0,2,0,17,0,0,0,20,0
26,1,11,16,7,0,8,27,30,0,17,20,6,29,19,23,2,9,0,28,18,10,15,21,14,24,22,13,4,12
9,25,1,20,13,11,15,26,14,18,10,21,23,0,19,4,27,0,24,30,17,2,3,22,6,7,5,0,16,0
7,20,22,0,9,17,0,28,10,0,0,6,4,29,27,30,15,2,0,0,8,5,11,26,21,0,24,19,1,13
0,17,28,13,27,19,8,29,0,23,7,24,11,2,18,12,0,21,10,14,9,16,0,6,4,0,25,26,3,5
22,13,28,9,1,0,16,14,30,21,15,4,3,2,17,23,0,7,24,26,12,18,0,10,20,0,8,5,19,6
0,11,20,27,10,4,16,9,28,26,23,22,7,3,14,0,24,21,17,1,13,5,8,0,6,29,2,0,15,12
18,20,16,14,29,17,21,9,27,8,1,4,11,5,13,0,0,12,0,10,0,15,26,19,22,0,24,23,30,6
0,12,27,30,0,24,1,5,23,0,14,11,3,25,7,19,9,4,0,29,0,21,18,20,8,0,17,16,10,26
15,19,18,16,0,17,6,3,20,26,8,27,12,30,23,1,21,7,29,0,24,9,25,2,11,14,5,13,0,0
14,12,19,0,30,0,2,3,11,24,22,10,21,0,27,26,9,25,0,13,7,0,17,16,28,0,4,5,0,6
14,4,27,0,19,5,1,13,12,26,23,3,2,29,0,15,9,11,30,16,8,24,20,7,0,28,21,6,10,25
4,23,12,0,26,3,8,9,2,7,16,25,0,28,5,0,21,27,14,24,0,0,20,17,0,30,22,6,11,18
23,0,21,0,27,12,0,0,0,29,18,0,22,0,6,3,24,30,1,15,14,0,16,7,10,0,9,11,26,8
17,20,0,8,30,1,10,2,3,29,24,11,28,27,19,5,12,0,4,25,26,9,21,0,13,7,16,18,15,23
3,9,20,23,4,29,12,10,25,0,30,0,0,19,18,24,7,6,13,11,22,16,0,14,8,0,21,15,1,2
17,26,0,22,3,13,27,10,15,9,12,29,19,24,7,4,21,11,2,1,6,5,16,20,14,28,18,23,25,8
30,21,0,29,28,12,2,16,19,0,14,0,5,0,0,13,23,24,6,22,8,17,4,25,3,18,0,10,11,20
8,15,12,17,14,0,22,3,30,0,23,0,11,0,9,4,27,0,13,5,19,2,10,26,18,20,1,0,7,25
0,0,0,26,4,20,6,14,29,21,0,13,25,19,8,18,7,22,5,9,1,0,10,28,24,30,2,15,23,16
8,0,30,18,3,7,27,19,26,14,1,23,15,2,5,4,25,0,16,24,20,13,17,0,21,12,9,0,22,0
14,27,2,6,0,24,11,28,0,4,1,25,0,22,8,29,18,19,3,17,15,5,10,12,16,0,21,7,26,0
0,14,0,16,6,23,12,22,3,11,0,0,7,18,26,0,27,29,0,30,4,17,20,28,21,25,24,1,10,0
26,7,0,12,10,4,0,18,0,17,0,2,24,25,20,21,16,22,11,28,6,15,3,0,23,0,1,27,8,29
28,9,0,0,29,8,0,0,30,25,19,10,16,21,14,0,2,26,18,3,12,27,24,1,11,17,15,0,0,7
6,22,29,14,26,0,0,7,12,4,1,3,27,21,19,0,15,20,30,16,17,0,2,0,8,23,10,11,13,0
16,7,4,8,21,5,25,24,18,0,13,11,10,29,3,12,2,0,17,9,22,26,20,23,14,28,30,27,1,15
25,26,30,0,10,0,6,9,7,8,13,1,0,0,0,23,28,2,0,18,5,0,17,3,4,15,29,24,12,27
11,10,20,12,0,9,1,30,19,5,15,16,21,4,8,29,13,23,25,18,3,7,28,27,22,6,2,24,26,0
0,0,23,7,16,26,6,0,21,0,0,9,0,5,2,30,8,3,20,12,28,27,15,18,29,13,25,11,14,19
4,23,14,5,25,17,3,0,0,0,8,19,0,0,11,15,24,22,7,13,2,12,10,0,26,30,28,6,16,0
30,0,11,27,1,25,22,6,18,8,20,26,0,0,2,17,15,4,21,9,13,23,10,0,0,28,24,3,19,14
3,22,8,15,0,23,27,0,24,30,1,0,11,0,18,29,2,25,0,5,17,26,19,4,21,10,13,14,12,16
11,13,21,29,26,22,0,27,8,6,0,0,24,25,4,1,0,3,15,23,20,17,19,9,30,2,16,0,28,18
5,0,4,12,14,13,30,7,0,15,9,2,23,0,0,22,19,10,20,27,0,1,18,26,8,3,29,24,16,0
